Доброго	               adj:m:v_rod:compb 
13	                   number 
березня	               noun:m:v_rod 
о	                   prep:rv_zna 
21:20	               time 
я	                   pron:pers:s:1:v_naz:anim
і	                   conj:coord 
мій	                   adj:m:v_naz:&pron:pos 
хлопець	               noun:m:v_naz:anim 
змушені	               adjp:pasv:past:p:v_naz 
були	               verb:past:p:imperf 
покинути	           verb:inf:perf 
Ваш	                   adj:m:v_zna:&pron:pos 
заклад	               noun:m:v_zna 
оскільки	           conj:subord 
нам	                   pron:pers:p:1:v_dav:anim
вимкнули	           verb:past:p:perf 
світло	               noun:n:v_zna 
і	                   conj:coord 
телевізор	           noun:m:v_zna
і	                   conj:coord 
лише	               part 
після	               prep:rv_rod 
цього	               pron:pers:p:1:v_rod:anim
повідомили	           verb:past:f:perf
що	                   conj:subord pron:int:rel:n:v_naz 
вони	               pron:pers:p:3:v_naz:anim
закриваються	       verb:rev:pres:p:3:imperf 
Коли	               conj:subord 
я	                   pron:pers:s:1:v_naz:anim
спитала	               verb:past:f:perf 
А	                   conj:coord 
Ви	                   pron:pers:p:2:v_naz:anim 
не	                   part 
працюєте	           verb:pres:p:2:imperf 
до	                   prep:rv_rod 
22:00	               time 
нам	                   pron:pers:p:1:v_dav:anim
відповіли	           verb:past:p:perf 
що	                   conj:subord  pron:int:rel:n:v_naz 
так	                   part 
але	                   conj:coord 
оскільки	           conj:subord 
людей	               noun:p:v_rod:anim 
нема	               predic 
то	                   conj:subord 
нема	               predic 
сенсу	               noun:m:v_rod 
працювати	           verb:inf:imperf 
Замовлення	           noun:n:v_zna 
ми	                   pron:pers:p:1:v_naz:anim
зробили	               verb:past:p:perf 
піцу	               noun:f:v_zna 
і	                   conj:coord 
пиво	               noun:n:v_zna 
але	                   conj:coord 
навіть	               part 
не	                   part 
посиділи	           verb:past:p:perf 
40хвилин	 
Виходила	           verb:past:f:imperf 
напомацки	           adv 
оскільки	           conj:subord 
зір	                   noun:m:v_zna 
дуже	               adv 
поганий	               adj:m:v_zna:compb 
і	                   conj:coord 
оту	                   pron:f:v_zna:&pron:dem 
масивну	               adj:f:v_zna:compb 
дошку	               noun:f:v_zna 
внизу	               adv:v-u 
сходів	               noun:p:v_rod 
також	               adv 
відсували	           verb:past:p:imperf 
щоб	                   conj:subord 
пройти	               verb:inf:perf 
Обурені	               adjp:pasv:past:p:v_naz 
до	                   prep:rv_rod 
глибини	               noun:f:v_rod 
душі                   noun:m:v_rod 
Більше	               adv:compr 
не	                   part 
повернемося	           verb:rev:futr:p:1:perf 
Дякуємо	               verb:pres:p:1:imperf 
за	                   prep:rv_zna
зіпсований	           adjp:pasv:past:m:v_zna 
вечір	               noun:m:v_zna 
Піца	               noun:f:v_naz 
до	                   prep:rv_rod 
речі	               noun:f:v_rod </insert> 
була	               verb:past:f:imperf 
дуже	               adv 
непогана	           adj:f:v_naz 
Шкода	               noun:f:v_naz 
що	                   conj:subord pron:int:rel:n:v_naz 
часу	               noun:m:v_rod 
нею	                   pron:pers:f:3:v_oru:anim
насолодитися	       verb:rev:inf:perf 
не	                   part 
було	               verb:past:n:imperf 
З	                   prep:rv_oru
повагою	               noun:f:v_oru 
Наталія	               noun:f:v_naz:anim:fname
Доброго	               adj:m:v_rod:compb 
вечора	               noun:m:v_rod 
Білий	               adj:m:v_naz:compb 
Лев	                   noun:m:v_naz:anim:fname 
оптимальний	           adj:m:v_zna:compb 
варіант	               noun:m:v_zna 
для	                   prep:rv_rod 
людей	               noun:p:v_rod:anim 
які	                   adj:p:v_naz:&pron:int:rel:def
бажають	               verb:pres:p:3:imperf 
відчути	               verb:inf:perf 
атмосферу	           noun:f:v_zna 
Львова	               noun:m:v_rod 
смачно	               adv:compb 
поїсти	               verb:inf:perf 
кухня	               noun:f:v_naz 
божественна	           adj:f:v_naz 
просто	               part 
відвідати	           verb:inf:perf 
приємний	           adj:m:v_zna:compb 
заклад	               noun:m:v_zna 
В	                   prep:rv_mis:v-u 
Білому	               adj:m:v_mis:compb 
Леві	               noun:m:v_mis:anim:fname 
святкувала	           verb:past:f:imperf 
в	                   prep:rv_mis:v-u 
компанії	           noun:f:v_mis 
друзів	               noun:p:v_rod:anim 
своє	               adj:n:v_zna:&pron:pos 
день	               noun:m:v_zna 
народження	           noun:n:v_zna 
відтоді	               adv:&pron:dem 
і	                   conj:coord 
полюбила	           verb:past:f:perf 
даний	               adjp:pasv:past:m:v_zna 
паб	                   noun:m:v_zna 
Не	                   part 
можу	               verb:unknown 
проігнорувати	       verb:inf:perf 
останній	           adj:f:v_zna 
коментар	           noun:m:v_zna 
Миколи	               noun:m:v_rod:anim:fname
телефонна	           adj:f:v_naz 
резервація	           noun:f:v_naz 
повністю	           adv 
погоджуюсь	           verb:rev:pres:s:1:imperf 
з	                   prep:rv_rod:rv_zna:rv_oru 
його	               pron:pers:m:3:v_oru:anim 
думкою	               noun:f:v_oru 
бажаю	               verb:pres:s:1:imperf 
адміністраторам	       noun:p:v_dav:anim 
якнайшвидше	           adv:super 
вирішити	           verb:inf:perf 
проблему	           noun:f:v_zna 
Хотілося	           verb:unknown 
б	                   part 
порекомендувати	       verb:inf:perf 
ресторан	           noun:m:v_zna 
туристам	           noun:p:v_dav:anim 
людям	               noun:p:v_dav:anim 
що	                   conj:subord pron:int:rel:n:v_naz 
вперше	               adv:v-u 
у	                   prep:rv_mis:v-u 
Львові	               noun:m:v_mis 
Додатковий	           adj:m:v_zna 
плюс	               noun:m:v_zna 
музика	               noun:f:v_naz 
джаз	               noun:m:v_naz 
та	                   conj:coord 
рок-гурти	           noun:p:v_naz 
Персонал	           noun:m:v_naz 
приємні	               adj:p:v_zna:compb 
ввічливі	           adj:p:v_naz:v-u 
офіціанти	           noun:p:v_naz:anim 
уважні	               adj:p:v_naz:compb 
до	                   prep:rv_rod 
клієнта	               noun:m:v_rod:anim 
Жодного	               adj:m:v_rod:&pron 
разу	               noun:m:v_rod 
не	                   part 
очікувала	           verb:past:f:imperf 
замовлення	           noun:n:v_zna
надто	               adv 
довго	               adv:compb 
Кухня	               noun:f:v_naz 
різноманітність	       noun:f:v_zna 
страв	               noun:p:v_rod 
закусок	               noun:p:v_rod 
напоїв	               noun:p:v_rod 
смаколиків	           noun:p:v_rod 
Смачно	               adv:compb 
за	                   prep:rv_oru
розумною	           adj:f:v_oru:compb 
ціною	               noun:f:v_oru 
Інтер'єр	           noun:m:v_naz 
вишуканий	           adjp:pasv:past:m:v_zna:compb
атмосферний	           adj:m:v_zna 
достатньо	           adv 
стриманий	           adjp:pasv:past:m:v_zna:compb
увагу	               noun:f:v_zna 
прикували	           verb:past:p:perf 
постери	               noun:p:v_zna 
на	                   prep:rv_mis 
стінах	               noun:p:v_mis 
приємно	               adv:compb 
здивована	           adjp:pasv:past:f:v_naz 
велетенська	           adj:f:v_naz 
статуя	               noun:f:v_naz 
лева	               noun:m:v_rod 
креативне	           adj:n:v_zna:compb 
меню	               noun:n:v_zna:nv 
Паб	                   noun:m:v_naz 
широко	               adv:compb 
відвідуваний	       adjp:pasv:past:pres:m:v_naz:compb
через	               prep:rv_zna 
місце	               noun:n:v_zna 
локації	               noun:f:v_rod 
центр	               noun:m:v_naz 
Львова	               noun:m:v_rod 
біля	               adv 
Ринок	               noun:m:v_naz 
користується	       verb:rev:pres:s:3:imperf
популярністю	       noun:f:v_oru 
Бажаю	               verb:pres:s:1:imperf 
адміністраторам	       noun:p:v_dav:anim 
прислухатись	       verb:rev:inf:imperf 
до	                   prep:rv_rod 
негативних	           adj:p:v_rod:compb 
відгуків	           noun:p:v_rod 
вдосконалювати	       verb:inf:imperf:v-u 
свою	               adj:f:v_zna:&pron:pos 
роботу	               noun:m:v_rod:anim 
роботу	               noun:m:v_zna:anim 
своїх	               adj:p:v_rod:&pron:pos 
працівників	           noun:p:v_rod:anim 
Керуючись	           advp:rev:imperf 
власним	               adj:m:v_oru 
досвідом	           noun:m:v_oru 
перебування	           noun:n:v_rod 
в	                   prep:rv_mis:v-u 
Білому	               adj:m:v_mis:compb 
Леві	               noun:m:v_mis:anim:fname 
можу	               verb:unknown 
висловити	           verb:inf:perf 
свій	               adj:m:v_zna:&pron:pos 
захват	               noun:m:v_zna 
чудове	               adj:n:v_zna:compb 
місце	               noun:n:v_zna 
для	                   prep:rv_rod 
святкувань	           noun:p:v_rod 
визначних	           adj:p:v_rod:compb 
днів	               noun:p:v_rod 
чи	                   conj:coord:subord 
просто	               adv:compb 
цікаво	               adv:compb 
та	                   conj:coord 
смачно	               adv:compb 
проведеного	           adjp:pasv:past:m:v_rod 
часу	               noun:m:v_rod 
Бажаю	               verb:pres:s:1:imperf 
прагнути	           verb:inf:imperf 
до	                   prep:rv_rod 
кращого	               adj:m:v_rod:compr 
Моя	                   adj:f:v_naz:&pron:pos 
оцінка	               noun:f:v_naz 
позитивна	           adj:f:v_naz:compb 
Нехай	               part 
щастить	               verb:pres:s:3:imperf 
 
