Taradakha 20-30 female
рекомендувати	рекомендувати verb:inf:imperf   11
вашого	ваш         adj:m:v_rod:&pron:pos   0
закладу	заклад      noun:m:v_rod  6
знайомим знайомий   adj:p:v_dav  6
хоч	    хоч         conj:subord   0
він  	він         pron:pers:m:3:v_naz:anim 0
і	    і           part  0
видається видаватися verb:rev:pres:s:3:imperf  -12
досить	досить      adv  -4
цікавим	цікавий     adj:m:v_oru:compb 18
зовні	зовні       adv 5
Якщо	якщо        conj:subord  0
вже	    вже         adv:v-u  3
навчилися	навчитися verb:rev:past:p:perf  3
азам	ази         noun:p:v_dav  3
то	    то           conj:subord  0
навчіться навчитися verb:rev:impr:p:2:perf  10
і	     і           part  0
азам	ази          noun:p:v_dav 6
вихованості	вихованість noun:f:v_rod  8
бо	    бо           conj:subord   1
вам	     ви          pron:pers:p:2:v_dav:anim 4
цього	 цей         adj:m:v_rod:&pron:dem   0
аж	     аж          conj:subord  0
ніяк	ніяк         adv:&pron:neg  0
не	    не           part   -9
Сподіваюся	сподіватися verb:rev:pres:s:1:imperf 4
більше	багато        adv:compr  2
ніколи	ніколи        adv:&pron:neg  -3
навіть	навіть        part  0
не	    не            part  -6
проходити проходити   verb:inf:imperf  4
біля	біля          adv  0
вашого	ваш           adj:m:v_rod:&pron:pos  0
закладу	заклад        noun:m:v_rod  10
Гарний	гарний      adj:m:v_naz:compb   22
ресторан ресторан   noun:m:v_naz  15
а	    а           conj:coord   0
от	    от          part  6
противна противний  adj:f:v_naz:compb  -44
Були	бути        verb:past:p:imperf  -2
з	    з           prep:rv_rod:rv_zna:rv_oru  0
подругою подруга    noun:f:v_oru:anim  40
у	    у           prep:rv_mis:v-u  0
Львові	Львів       noun:m:v_mis  48
За	    за          prep:rv_zna  0
дві	    два         numr:f:v_zna  0
години	година      noun:p:v_zna  0
до	    до          prep:rv_rod  0
потяга	потяг       noun:m:v_rod  -2
зайшли	зайти       verb:past:p:perf  2
ще	    ще          adv   0
на	    на          prep:rv_zna 0
пиво	пиво        noun:n:v_zna  34
та	    та          conj:coord  0
каву	кава        noun:f:v_zna  34
в	    в           prep:rv_zna:rv_mis:rv_rod:v-u  0
цю   	цей         adj:f:v_zna:&pron:dem  0
кав'ярню кав'ярня   noun:f:v_zna    35
Місце-незабутнє	місце-незабутній noun:n:v_naz   31
Вся	    весь        adj:f:v_naz:&pron:dem  0
ця	    цей         adj:f:v_naz:&pron:dem  0
метушня	метушня     noun:f:v_naz  -10
проїжджаючі	проїжджаючий adjp:actv:pres:p:v_naz:bad -4
мимо	мимо        adv  -7
трамваї	трамвай     noun:p:v_naz  2
вуличні	вуличний    adj:p:v_naz  2
створюють	створювати verb:pres:p:3:imperf  6
особливу	особливий  adj:f:v_zna  26
атмосферу	атмосфера noun:f:v_zna  8
Дуже	 дуже          adv 6
офіціанти	офіціант   noun:p:v_naz:anim  6
смачні	смачний         adj:p:v_naz:compb  22
наливки	наливка         noun:p:v_naz  39
хороше	хороший     adj:n:v_naz:compb   36
пиво	пиво        noun:n:v_naz   36
Навіть	навіть      part  0
такою	такий       adj:f:v_oru:&pron:def  0
дрібницею дрібниця  noun:f:v_oru  10
як	    як          conj:subord  0
салат	салат       noun:m:v_zna  6
нас  	ми          pron:pers:p:1:v_rod:anim 0
приємно	приємно     adv:compb  2
здивували здивувати verb:past:p:perf  9
Все	    весь       adj:n:v_naz:&pron:dem 0
на	    на         prep:rv_mis  0
вищому	високий    adj:m:v_mis:compr  20
рівні	рівень     noun:m:v_mis    0
Мінусів	мінус      noun:p:v_rod  -30
не	    не         part  -30
знайшли	знайти     verb:past:p:perf  10
зовсім	зовсім     adv  0
Дуже    дуже      adv  10
смачна	смачний   adj:f:v_naz:compb  10
кухня	кухня     noun:f:v_naz  10
рекомендую	рекомендувати verb:pres:s:1:imperf  10
заплатили	заплатити  verb:past:p:perf  10
~150    ~150        number  0
грн  	грн         noun:p:v_rod:nv:abbr  40
при	     при        prep:rv_mis 0
цьому	 цей        adj:m:v_mis:&pron:dem 0
вже  	вже         adv:v-u  0
не	    не          part  0
могли	могти       verb:unknown  0
все	    весь       adj:n:v_zna:&pron:dem  0
великі	великий    adj:p:v_naz:compb  15
Не	    не         part  0
Я	    я          pron:pers:s:1:v_naz:anim  6
там	    там        adv:&pron:dem   0
буваю	бувати     verb:pres:s:1:imperf  5
часто	часто      adv:compb  5
в	    в          prep:rv_mis:v-u  0
шоці	шок        noun:m:v_mis  -10
від	    від        prep:rv_rod  0
прочитаних прочитаний adjp:pasv:past:p:v_rod  10
коментарів	коментар  noun:p:v_rod  3
від	    від        prep:rv_rod  0
Марти	Марта      noun:f:v_rod:anim:fname  0
і	    і          conj:coord   0
Віталіка Віталік   noun:m:v_rod:anim:fname   0
взагалі	взагалі    adv:v-u  0
в	    в          prep:rv_mis:v-u  0
шоці	шок        noun:m:v_mis  -5
якісь	якийсь     adj:p:v_naz:&pron:ind  0
озлоблені озлоблений adjp:pasv:past:p:v_naz  -38
люди	люди       noun:p:v_naz:anim  11
чи	    чи         conj:coord:subord  0
що   	що         pron:int:rel:n:v_naz 0
Простенький	простенький adj:m:v_naz   3
заклад	заклад     noun:m:v_naz 3
зі  	зі         prep:rv_oru  0
смачною	смачний    adj:f:v_oru:compb  8
кухнею	кухня      noun:f:v_oru  8
і	    і          conj:coord  0
там	    там        adv:&pron:dem   0
не   	не         part  -5
буває	бувати     verb:pres:s:3:imperf  6
гамірно	гамірно    adv  8
Ціни	ціна       noun:p:v_naz  -11
доступні доступний adj:p:v_naz:compb  10
і    	і         conj:coord  0
до   	до речі   <insert>  0
речі	до речі  </insert>  0
персонал персонал noun:m:v_naz  10
або  	або     conj:coord  0
поміняли  поміняти verb:past:p:perf  10
або	    або     conj:coord  0
що    	що      pron:int:rel:n:v_naz 0
але     але     conj:coord 0
дуже	дуже    adv  10
класний	класний adj:m:v_naz  20
Запевняю запевняти verb:pres:s:1:imperf  8
одразу	одразу  adv  4
деяких	деякий  adj:p:v_rod  0
а	    а       conj:coord  0
там	    там     adv:&pron:dem   0
не	    не      part  0
працюю	працювати verb:pres:s:1:imperf  4
просто	просто  adv:compb  0
мені	я       pron:pers:s:1:v_dav:anim  3
там  	там     adv:&pron:dem  0
справді	справді part  2
подобається	подобатися verb:rev:pres:s:3:imperf  4
Особливо особливо adv  3
там	    там    adv:&pron:dem  0
класно	класно adv  6
з	   з       prep:rv_oru 0
друзями	друзі  noun:p:v_oru:anim  44
дивитись дивитися verb:rev:inf:imperf  21
футбол	футбол  noun:m:v_zna  9
Кухня  кухня   noun:f:v_naz  9
шашлик	шашлик noun:m:v_naz   46
жахливий жахливий adj:m:v_naz:compb  -48
це	    цей     adj:n:v_naz:&pron:dem 0
взагалі	взагалі adv:v-u  0
важко	важко   adv:compb  -15
назвати	назвати verb:inf:perf  0
шашликом шашлик noun:m:v_oru  42
Дуже	дуже   adv 11
смачно	смачно adv:compb  25
Баранина баранина noun:f:v_naz  44
і	    і      conj:coord  0
яловичина яловичина noun:f:v_naz   37
Хоча    хоча   conj:subord   0
там  	там    adv:&pron:dem   0
все	    весь   adj:n:v_naz:&pron:dem 0
смачне смачний adj:n:v_naz:compb  33
нема   нема    predic  -11
такого такий   adj:n:v_rod:&pron:def  0
місце	місце  noun:n:v_naz   8
суперове -     -  25
кухня	кухня  noun:f:v_naz  25
неймовірно	неймовірно adv:compb  32
смачна	смачний adj:f:v_naz:compb  25
ну  	ну     part  0
і   	і      part  0
усміхнені усміхнений adj:p:v_naz:v-u   18
та	     та     conj:coord   0
прекрасні	прекрасний adj:p:v_naz:compb   36
офіціанти	офіціант  noun:p:v_naz:anim  5
були	бути     verb:past:p:imperf  0
на	    на       prep:rv_mis  0
вечорницях	вечорниці noun:p:v_mis  9
радимо	радити   verb:pres:p:1:imperf  9
стовідсотково стовідсотково adv   46
ДОРОГИ	дорога     noun:p:v_naz  -30
ПОГАНЕНЬКІ	поганенький adj:p:v_naz  -7
         -          SENT_START  0
Гарна	гарний      adj:f:v_naz:compb  28
атмосфера	атмосфера  noun:f:v_naz  17
і	     і          conj:coord  0
безкоштовний	безкоштовний adj:m:v_naz  43
Можна	можна      predic  6
і	    і          conj:coord   0
з	    з          prep:rv_oru 0
коханою	кохана     noun:f:v_oru:anim 31
посидіти посидіти  verb:inf:perf  11
і	    і          conj:coord  0
ділову	діловий    adj:f:v_zna  10
зустріч	зустріч    noun:f:v_zna  14
провести провести  verb:inf:perf  5
Дуже	дуже       adv  7
люблю	любити     verb:pres:s:1:imperf  24
їхні	їхній      adj:p:v_zna:&pron:pos  0
оладки	оладка     noun:p:v_zna 28
Найромантичніше	романтичний adj:n:v_naz:super  28
місце	місце       noun:n:v_naz   6
у	    у           prep:rv_mis:v-u  0
Львові	Львів       noun:m:v_mis  44
Особливо особливо   adv  14
заворожує заворожувати verb:pres:s:3:imperf  14
вигляд	вигляд      noun:m:v_naz   11
з	    з           prep:rv_rod 0
тераси	тераса      noun:f:v_rod    14
А	    а           conj:coord  0
про 	про         prep:rv_zna  0
кухню	кухня       noun:f:v_zna  21
і	    і           conj:coord   1
вина	вино        noun:p:v_zna  37
можна	можна       predic  2
писати	писати      verb:inf:imperf  3
довго	довго       adv:compb   -5
спробувати	спробувати verb:inf:perf  22
самому	сам         adj:m:v_dav:&pron:def   0
персонал	персонал noun:m:v_naz   8
цікаве	цікавий      adj:n:v_naz:compb  8
меню	меню         noun:n:v_naz:nv  8
є	    бути         verb:pres:s:3:imperf  6
також	також        adv  0
англійський	англійський adj:m:v_naz  25
страви	страва       noun:p:v_naz   7
дуже	дуже         adv  7
смачні	смачний      adj:p:v_naz:compb  17
Трохи	 трохи       adv  7
зимно	зимно        adv:compb  -31
особливо	особливо  adv  6
відчувається відчуватися verb:rev:pres:s:3:imperf 10
перепад	перепад       noun:m:v_naz   -22
температури	температура noun:f:v_rod   7
після	після         adv  0
вулиці	вулиця        noun:f:v_rod  3
Проте	проте        adv   0
після	після        adv   0
першої	перший       adj:f:v_rod  0
гарячої	гарячий      adj:f:v_rod:compb  22
страви	страва       noun:f:v_rod   13
все  	весь        adj:n:v_naz:&pron:dem 0
ідеально ідеально   adv  38
Була	бути        verb:past:f:imperf  -10
там	    там         adv:&pron:dem  0
Мені	я           pron:pers:s:1:v_dav:anim   4
досить	досить     adv  -4
сподобалось	сподобатися verb:rev:past:n:perf  28
Інтер'єр інтер'єр  noun:m:v_naz  26
прекрасна	прекрасний adj:f:v_naz:compb  20
кухня	   кухня   noun:f:v_naz  15
вишукана  вишуканий adjp:pasv:past:f:v_naz:compb 21
обслуговування	обслуговування noun:p:v_naz  14
хороше  хороший   adj:n:v_naz:compb   39
ставлення	ставлення noun:n:v_naz   20
привітне  привітний  adj:n:v_naz:compb  29
Можна	можна        predic  3
ще	    ще           adv   0
багато	багато       numr:p:v_naz:&pron:ind 25
сказати	сказати      verb:inf:perf  3
так	    так          adv:&pron:dem  4
нічого	ніщо        pron:neg:v_zna  -10
не	    не          part  -10
кажу	казати      verb:pres:s:1:imperf  5
Справді	справді     adv   8
сподобалось	сподобатися verb:rev:past:n:perf  26
і	    і         conj:coord   0
радості	радість   noun:f:v_rod   22
їхньому	їхній     adj:m:v_dav:&pron:pos 0
колективу	колектив noun:m:v_dav  7
Деякі   деякий    adj:p:v_naz   0
елементи  елемент noun:p:v_naz   2
декору	декор     noun:m:v_rod  6
Напевне	напевне   adv  1
цей	    цей      adj:m:v_naz:&pron:dem 1
заклад	заклад   noun:m:v_naz   14
немає	немає    predic  -20
власника власник noun:m:v_rod:anim  9
або  	або      conj:coord  0
тому	той      adj:m:v_dav:&pron:dem 0
власнику власник noun:m:v_dav:anim  7
нема	нема     predic  -9
нічого	ніщо     pron:neg:v_rod  -9
до	    до       prep:rv_rod  0
того	той      adj:m:v_rod:&pron:dem  0
ресторану ресторан noun:m:v_rod  15
Я	     я        pron:pers:s:1:v_naz:anim  8
була	бути      verb:past:f:imperf  6
у	    у         prep:rv_mis:v-u  0
цьому	цей       adj:m:v_mis:&pron:dem  0
ресторані ресторан noun:m:v_mis  15
один	один      numr:m:v_zna  0
раз-після	раз-після adv  0
якого	який       adj:m:v_rod:&pron:int:rel:def 0
в	     в         prep:rv_rod:v-u  0
мене	 я         pron:pers:s:1:v_rod:anim  3
склалось скластися verb:rev:past:n:perf  5
враження враження  noun:n:v_naz   7
що	     що       conj:subord   0
це	    цей       adj:n:v_naz:&pron:dem   0
не	    не        part  0
НІКОМУ	 ніхто   pron:neg:v_dav:anim  -11
слів	 слово   noun:p:v_rod  5
НІЧОГО	ніщо   pron:neg:v_rod   -20
абсолютно	абсолютно adv  2
НІЧОГО	ніщо   pron:neg:v_rod  -14
смачного	смачний adj:m:v_rod:compb  35
на	    на жаль <insert>  0
жаль	на жаль  </insert>   -9
Погоджуюсь	погоджуватися verb:rev:pres:s:1:imperf  14
з	    з        prep:rv_oru 0
попереднім	попередній adj:m:v_oru  -5
відгуком	відгук     noun:m:v_oru  5
чудове	чудовий        adj:n:v_naz:compb  26
місце	місце          noun:n:v_naz  9
традиційна	традиційний adj:f:v_naz:compb  40
кухня	кухня          noun:f:v_naz  11
що  	що             pron:int:rel:n:v_naz   0
з	    з              prep:rv_oru 0
галицькими	галицький  adj:p:v_oru  18
традиціями	традиція   noun:p:v_oru  40
Ще	        ще         adv   -1
можна	    можна      predic  2
потрапити	потрапити  verb:inf:perf  7
на	        на         prep:rv_zna  0
експозицію	експозиція noun:f:v_zna  22
а	        а         conj:coord  0
в	        в         prep:rv_mis:v-u  0
крамничці	крамничка noun:f:v_mis  17
придбати	придбати  verb:inf:perf  10
чарочку  	чарочка   noun:f:v_zna  27
на	        на        prep:rv_zna  0
згадку	    згадка    noun:f:v_zna  17
такого     	такий     adj:m:v_rod:&pron:def  0
нема	    нема      predic  -10
Природа	    природа   noun:f:v_naz  12
Були	    бути      verb:past:p:imperf  -3
там	        там       adv:&pron:dem  0
кухня	    кухня     noun:f:v_naz  15
нічого	    ніщо      pron:neg:v_rod  -18
особливого	особливий adj:m:v_rod  15
а	        а         conj:coord  0
от	        от        part  0
ціни	    ціна      noun:p:v_naz  -8
і	        і         conj:coord   0
те	        той       adj:n:v_naz:&pron:dem   0
як	        як        adv:&pron:int:rel   0
вас     	ви        pron:pers:p:2:v_rod:anim  0
обдурюють	обдурювати verb:pres:p:3:imperf  -40
в	        в         prep:rv_mis:v-u  0
рахунках	рахунок   noun:p:v_mis  16
просто	     просто   adv:compb  6
Скажіть	    сказати   verb:impr:p:2:perf  16
як	        як        adv:&pron:int:rel  0
можна	    можна     predic  2
помилитися	помилитися verb:rev:inf:perf  -9
на	        на        prep:rv_mis  0
950	        950       number  0
в	         в        prep:rv_mis:v-u  0
рахунку	     рахунок  noun:m:v_mis   14
написали	написати  verb:past:p:perf  -4
більше	    багато    adv:compr   15
в	        в         prep:rv_rod:v-u  0
них     	вони      pron:pers:p:3:v_rod:anim  0
сир	        сир       noun:m:v_naz  20
сулугуні	сулугуні  noun:m:v_naz:nv  6
в	        в         prep:rv_mis:v-u  0
тісті	    тісто     noun:n:v_mis  13
такий	    такий     adj:m:v_naz:&pron:def  0
напевно 	напевно   adv  -4
десь    	десь      adv:&pron:ind   0
з	        з         prep:rv_rod 0
чартером	чартер    noun:m:v_oru  7
привезли	привезти  verb:past:p:perf  3
І	        і          part  0
то	        то         conj:subord  0
якщо	    якщо       conj:subord  0
б        	б          part  0
не	        не         part  0
почали   	почати     verb:past:p:perf  5
дивитись	дивитися   verb:rev:inf:imperf  10
рахунок  	рахунок    noun:m:v_zna  -12
персонал	персонал   noun:m:v_naz  3
навіть	    навіть     part  -4
не      	не         part  -14
побачив	    побачити   verb:past:m:perf  3
своєї	    свій       adj:f:v_rod:&pron:pos  7
помилки	    помилка    noun:f:v_rod  -36
враховуючи	враховувати advp:imperf:v-u  -6
те	        той        adj:n:v_zna:&pron:dem 0
що         	що         conj:subord   0
замовлення	замовлення noun:n:v_naz   4
було	    бути       verb:past:n:imperf  -1
невелике	невеликий  adj:n:v_naz   -10
на	        на         prep:rv_zna  0
5	        5          number  0
осіб	    особа      noun:p:v_zna:anim  3
Не	        не         part  -9
рекомендувала	рекомендувати verb:past:f:imperf  8
б	         б          part  0
йти	         йти        verb:inf:imperf  9
туди	     туди       adv:&pron:dem  0
бо         	бо          conj:subord  0
будете      бути        verb:futr:p:2:imperf  17
вертатись	вертатися   verb:rev:inf:imperf  -8
і	         і          conj:coord   0
ще	         ще         adv   0
в	         в          prep:rv_mis:v-u  0
боргу	     борг       noun:m:v_mis  -32
будете	     бути       verb:futr:p:2:imperf  7
нічого	     ніщо       pron:neg:v_rod   -15
не	         не         part  -11
поївши	     поїсти     advp:perf  27
толком	     толк       noun:m:v_oru  0
Інтер'єр	інтер'єр    noun:m:v_naz  32
кухня	    кухня       noun:f:v_naz  32
обслуговування	обслуговування noun:n:v_naz  9
Я	         я           pron:pers:s:1:v_naz:anim  9
не	         не          part  -16
погоджуся	 погодитися  verb:rev:futr:s:1:perf  13
з	         з           prep:rv_oru 0
попередніми	 попередній  adj:p:v_oru  -9
відгуками	 відгук      noun:p:v_oru   13
Коли	     коли        adv:&pron:int:rel  -1
я	        я            pron:pers:s:1:v_naz:anim  10
була	    бути         verb:past:f:imperf  -4
у	        у            prep:rv_mis:v-u  0
ресторанчик ресторанчик  noun:m:v_mis  14
мене	    я            pron:pers:s:1:v_rod:anim  9
привітно	привітно     adv:compb  9
зустріли	зустріти     verb:past:p:perf  9
і	        і            conj:coord   0
дуже	    дуже         adv  13
гарно	    гарно        adv:compb  13
обслужив	обслужити    verb:past:m:perf  5
Чорненький	чорненький   adj:m:v_naz  5
бармен	     бармен      noun:m:v_naz:anim  5
Було	     бути        verb:past:n:imperf  -4
досить	     досить      adv   12
смачно    	смачно       adv:compb  -13
і	        і            conj:coord   0
страви	     страва      noun:p:v_naz   8
свіжі	     свіжий      adj:p:v_naz:compb  12
Мало	     мало        adv:compb -21
десертів	 десерт      noun:p:v_rod  18
Мені	    я            pron:pers:s:1:v_dav:anim  5
дуже	    дуже         adv  5
сподобалось	сподобатися  verb:rev:past:n:perf  5
як	        як           adv:&pron:int:rel   0
і	        і            part  0
неймовірний	неймовірний  adj:m:v_naz:compb  31
смак	     смак        noun:m:v_naz  21
кави	     кава        noun:f:v_rod  37
хоч	         хоч         conj:subord  0
каву	     кава        noun:f:v_zna  39
я	         я           pron:pers:s:1:v_naz:anim  17
не	         не          part  -9
дуже	     дуже        adv  10
люблю	     любити      verb:pres:s:1:imperf  16
так	        так          adv:&pron:dem  5
і	        і            part  0
обслуговування	обслуговування noun:n:v_naz  16
всі      	весь        adj:p:v_naz:&pron:dem  1
були	    бути        verb:past:p:imperf  -2
дуже	    дуже        adv   3
ввічливі	ввічливий   adj:p:v_naz:v-u  27
в        	в            prep:rv_mis:v-u  0
них     	вони         pron:pers:p:3:v_mis:anim  0
було	    бути         verb:past:n:imperf  0
бажання	    бажання      noun:n:v_naz   36
допомогти	допомогти    verb:inf:perf  46
та	        та           conj:coord  0
порадити	порадити     verb:inf:perf  22
Приємна	    приємний     adj:f:v_naz:compb  22
атмосфера	атмосфера    noun:f:v_naz  22
та       	та           conj:coord  0
люди	люди             noun:p:v_naz:anim  27
Впевнена	впевнений    adj:f:v_naz:compb:v-u:&adjp:pasv:past  47
що       	що           conj:subord   0
мої	        мій          adj:p:v_naz:&pron:pos 10
візити	    візит        noun:p:v_naz   25
в	         в           prep:rv_mis:v-u  0
не	        не           part  -9
завершаться	завершитися  verb:rev:futr:p:3:perf -25
